"n_simul","n_vars","prop_censored","target_R2_C","censoring_threshold","mixture_T","mixture_T_type","mixture_T_n_groups","type_pred","algo","type_w","minleaf","maxdepth","max_w_mod","mean_R2","sd_R2","mean_Kendall","sd_Kendall","mean_concordance","sd_concordance","mean_KM_R2","sd_KM_R2","mean_Cox_R2","sd_Cox_R2","mean_RSF_R2","sd_RSF_R2","mean_mse","sd_mse","mean_KM_mse","sd_KM_mse","mean_Cox_mse","sd_Cox_mse","mean_RSF_mse","sd_RSF_mse","mean_R2_20","sd_R2_20","mean_Kendall_20","sd_Kendall_20"
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,"weights_tree","w_RF2","Cox",50,4,10,0.00199,0.02324,0.53439,0.01819,0.53454,0.01853,0.003,0.02299,0.00184,0.02421,0.00241,0.02381,12106.05972,2480.22689,11968.63895,2583.06177,11838.86194,2549.03737,11790.70404,2534.99953,0.03386,0.2607,0.64526,0.06567
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,"weights_tree","w_RF2","Cox",50,4,50,0.00265,0.02349,0.53523,0.01821,0.53541,0.01877,0.00389,0.02383,0.0027,0.02501,0.00325,0.02462,12097.63452,2479.34134,11957.14267,2580.70299,11828.22391,2547.62129,11780.18609,2532.55168,0.03201,0.28504,0.64363,0.06706
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,"weights_tree","w_RF2","KM",50,4,10,0.00156,0.0237,0.53465,0.0181,0.53484,0.01846,0.00384,0.02351,0.00158,0.0248,0.00239,0.0242,12108.77413,2469.48866,11956.7241,2572.04317,11840.03825,2540.24973,11788.68127,2523.57534,0.01655,0.27125,0.6421,0.06862
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,"weights_tree","w_RF2","KM",50,4,50,0.00152,0.02343,0.5346,0.01812,0.53471,0.01854,0.00371,0.02336,0.00155,0.02464,0.00241,0.0242,12110.19464,2470.42723,11958.73511,2570.92851,11840.57886,2537.45253,11788.85033,2521.80382,0.03348,0.26208,0.64232,0.06563
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,NA,"RF_bench",NA,50,4,NA,0.01297,0.01428,0.53635,0.0173,0.53669,0.01749,0.01358,0.01508,0.01318,0.01503,0.01356,0.01461,11968.57321,2409.66907,11833.77039,2498.91114,11697.46777,2465.2477,11651.56304,2449.37369,0.15753,0.15149,0.64633,0.06426
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,NA,"w_RF1","Cox",50,4,10,0.01116,0.01467,0.53426,0.01759,0.53453,0.01778,0.01148,0.01461,0.01092,0.01476,0.01136,0.01428,11991.91453,2423.1804,11860.83958,2513.18128,11725.85195,2478.48188,11678.94784,2461.82952,0.13455,0.17192,0.63913,0.06757
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,NA,"w_RF1","Cox",50,4,50,0.0116,0.01478,0.5345,0.01754,0.53476,0.01783,0.01198,0.01526,0.0114,0.01549,0.0119,0.01496,11985.24872,2412.25836,11853.75544,2507.03771,11718.95866,2472.5804,11671.7146,2456.93561,0.13297,0.17695,0.63986,0.06241
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,NA,"w_RF1","KM",50,4,10,0.01096,0.01481,0.53336,0.01816,0.53366,0.01847,0.01261,0.01532,0.0111,0.01557,0.01176,0.01505,11992.3362,2409.06695,11845.7945,2500.9525,11721.73737,2465.75856,11672.61754,2450.46994,0.12256,0.17364,0.63262,0.06758
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,NA,"w_RF1","KM",50,4,50,0.0109,0.01484,0.53342,0.01786,0.53364,0.01825,0.0125,0.01498,0.01105,0.01516,0.01174,0.01482,11994.31782,2417.72252,11847.51471,2502.78428,11723.16607,2469.96204,11673.4323,2453.08429,0.12217,0.17826,0.63601,0.07066
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,NA,"w_RF1","RSF",50,4,10,0.01165,0.01484,0.53431,0.01765,0.53462,0.01803,0.01231,0.01552,0.01152,0.01555,0.01204,0.01502,11984.69597,2413.10082,11849.89638,2505.8106,11717.64757,2471.33472,11669.95149,2454.61838,0.14393,0.16154,0.64011,0.06369
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,NA,"w_RF1","RSF",50,4,50,0.01173,0.01476,0.53455,0.01772,0.5347,0.01799,0.01236,0.01549,0.01158,0.0156,0.01211,0.01513,11983.85893,2414.04504,11849.03661,2504.78547,11716.79829,2471.09736,11668.90295,2454.08452,0.15205,0.1728,0.64228,0.07044
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,NA,"w_gam","Cox",NA,NA,10,0.01063,0.01806,0.53504,0.01895,0.53533,0.01904,0.01073,0.01894,0.01036,0.01864,0.01064,0.01781,11991.7714,2382.40681,11864.01177,2482.64354,11727.90658,2454.07131,11682.77355,2435.61049,0.10917,0.21956,0.6375,0.07406
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,NA,"w_gam","Cox",NA,NA,50,0.01063,0.01806,0.53504,0.01895,0.53533,0.01904,0.01073,0.01894,0.01036,0.01864,0.01064,0.01781,11991.7714,2382.40681,11864.01177,2482.64354,11727.90658,2454.07131,11682.77355,2435.61049,0.10917,0.21956,0.6375,0.07406
